"Request information","Richiedi informazioni"
"Request Information","Richiedi Informazioni"
"Last name","Cognome"
"Company name","Denominazione Azienda"
"Province","Provincia"
"Product name","Nome Prodotto"
"Privacy text","Testo Privacy"
"Authorization for data processing","Autorizzazione Trattamento Dati"
"Form submitted successfully!","Modulo inviato con successo!"
"Authorization for data processing must be checked","Authorization for data processing must be checked"
"This contact form does no longer exists.","This contact form does no longer exists."
"I have read and accept the <a href=""%1"" target=""_blank"">Terms and conditions and privacy policy</a>.","Ho letto i <a href=""%1"" target=""_blank"">Termini e le Condizioni e l’Informativa sulla tutela della privacy</a>."
"Mr","Sig."
"Mrs","Sig.ra"
"Title","Titolo",
"First name","Nome"
"Last name","Cognome"
"It is necessary to compelte the required fields","È necessario completare i campi obbligatori"
"Email address","Indirizzo e-mail"
"and/or","e/o"
"Phone code","Prefisso"
"Phone number","Numero di telefono"
"Please include a valid email address and/or a telephone number","Inserisci un indirizzo e-mail valido e/o un numero di telefono."
"Your message","Messaggio"
"Please enter your message here","Inserisci qui il tuo messaggio"
"I accept receiving marketing information about Rolex from Azra Gioielli.","Accetto di ricevere informazioni commerciali su Rolex da parte di Azra Gioielli."
"Please accept the Terms & Conditions","È necessario accettare i Termini e le Condizioni."
"Send message","Invia"
"Cancel","Annulla"
"Attachment","Allegato"
"Only jpg, jpeg, gif, png, pdf, doc, docx documents are allowed","Sono consentiti solo i documenti jpg, jpeg, gif, png, pdf, doc, docx"
